PitcherId,AutoPitchType,sum_ss,sum_whiff,sum_swing,sum_ip,sweet_spot_rate,whiff_rate,mean_velo,mean_vmov,mean_hmov,mean_spin,mean_ext,n
573277,Curveball,6,6,16,10,0.6,0.375,76.85247657534246,-2.6036365753424655,10.47531684931507,2092.5790052054795,5.6791743835616435,73
573277,Sinker,18,19,105,52,0.34615384615384615,0.18095238095238095,89.7683115034965,6.45434534965035,18.15429423076923,2272.1728891993007,5.924648146853147,286
675477,Curveball,3,23,47,20,0.15,0.48936170212765956,80.51894638297873,-4.831901914893617,17.42365739361702,2260.2113375159574,5.346472819148937,188
675477,Sinker,8,30,85,48,0.16666666666666666,0.35294117647058826,90.72895553113553,7.342659743589744,19.526390073260075,2144.1913677326006,5.669194007352941,273
675477,Slider,2,13,18,5,0.4,0.7222222222222222,81.71044736111111,0.3226786111111111,12.86652638888889,2383.7173139444444,5.1385379166666665,72
676147,Slider,16,56,115,56,0.2857142857142857,0.48695652173913045,84.55481904899135,0.31302406340057637,1.7173159365994237,2587.3813823227665,4.774117608069164,347
678095,Sinker,17,33,89,56,0.30357142857142855,0.3707865168539326,91.75196978395061,8.877201851851853,17.587557283950616,2196.1648766141975,5.588809099378882,324
678145,Curveball,2,4,16,9,0.2222222222222222,0.25,76.9776290625,-1.33140609375,13.38665640625,1902.56952696875,6.0045125,64
678145,Four-Seam,13,17,59,36,0.3611111111111111,0.288135593220339,89.64744677570093,17.10141046728972,10.590003411214953,2103.200470182243,6.051998831775701,214
678145,Sinker,7,11,39,22,0.3181818181818182,0.28205128205128205,89.4770578761062,15.959821238938053,14.401284867256637,2090.956368654867,5.968573451327433,113
678152,Changeup,34,26,157,109,0.3119266055045872,0.16560509554140126,84.02304324444444,9.4111302,12.284783577777779,1755.5022874866668,6.492514844444444,450
678152,Curveball,10,10,36,26,0.38461538461538464,0.2777777777777778,75.35627793814433,3.624327113402062,2.601714639175258,1948.779309,6.0895657731958766,97
678163,Four-Seam,6,18,38,20,0.3,0.47368421052631576,93.46502353982301,16.63504336283186,12.772378407079646,2195.4278708318584,5.387420442477876,113
678163,Sinker,9,13,40,27,0.3333333333333333,0.325,92.99009453125,14.839045234375,15.84282359375,2166.2297826640624,5.32869875,128
678163,Slider,7,20,37,17,0.4117647058823529,0.5405405405405406,81.75513323809524,1.1211206666666667,4.639168,2081.333239295238,5.141969809523809,105
681030,Four-Seam,7,17,46,29,0.2413793103448276,0.3695652173913043,91.19205956043956,17.29658269230769,10.568634120879121,2241.7639080384615,5.149156923076923,182
681030,Sinker,3,8,16,8,0.375,0.5,90.60638685714285,12.05618,13.452826571428572,2120.0761275857144,5.384147857142857,70
681030,Slider,11,24,43,19,0.5789473684210527,0.5581395348837209,82.25055697368421,-1.9055663157894738,7.458010394736842,2267.0198275657895,4.78651875,152
681064,Four-Seam,18,18,77,52,0.34615384615384615,0.23376623376623376,90.46980591093117,16.815855789473684,7.411502186234817,2431.9974387327934,5.867117773279352,247
681064,Slider,4,39,68,27,0.14814814814814814,0.5735294117647058,82.1588973,6.17633375,3.6704231,2621.230751395,5.42466665,200
683087,Four-Seam,10,11,39,28,0.35714285714285715,0.28205128205128205,93.25600966887417,16.482932516556293,8.594013907284769,2252.625117218543,5.5009228666666665,151
683087,Slider,10,35,59,24,0.4166666666666667,0.5932203389830508,84.84649804469274,1.0888863687150838,4.287374245810056,2546.582402150838,5.067451731843575,179
683100,Four-Seam,16,24,67,30,0.5333333333333333,0.3582089552238806,91.31266379120879,19.497896978021977,4.274472802197802,2241.219891773481,5.86820021978022,182
683153,Curveball,5,7,28,21,0.23809523809523808,0.25,73.05770146788991,-10.83386495412844,14.716749082568807,2500.8534698073395,5.815349724770642,109
683153,Four-Seam,15,34,107,60,0.25,0.3177570093457944,90.80049304878048,16.138809237804878,10.163243231707318,2269.285624835366,6.267010884146341,328
683153,Slider,5,30,47,16,0.3125,0.6382978723404256,80.69948610294118,0.8567836029411765,6.789473897058824,2514.0762439485293,5.794377867647059,136
683158,Four-Seam,2,3,15,12,0.16666666666666666,0.2,88.79340057971014,12.238223768115942,3.63704347826087,1835.2491550289856,6.443476811594203,69
683158,Slider,8,5,24,19,0.42105263157894735,0.20833333333333334,81.04351756097562,2.754924512195122,10.88377,2210.881081792683,5.953098536585366,82
683234,Changeup,5,13,37,23,0.21739130434782608,0.35135135135135137,84.1606500952381,9.328312666666667,14.620727523809524,1606.1673879809523,6.400996380952381,105
683234,Four-Seam,20,22,104,62,0.3225806451612903,0.21153846153846154,90.39456013550135,19.000083387533877,10.110196531165311,2048.774326777174,6.307861358695652,369
683234,Slider,6,12,42,25,0.24,0.2857142857142857,82.796833,5.482066333333333,3.5669685,2221.9546726333333,5.955027416666667,120
683308,Changeup,2,11,24,13,0.15384615384615385,0.4583333333333333,83.86307552083333,6.1512875,17.4213471875,1837.9442668020833,5.423610625,96
683308,Sinker,11,19,55,33,0.3333333333333333,0.34545454545454546,89.32471924324324,8.900749837837838,17.06535627027027,2001.4242440756757,5.4317607567567565,185
683308,Slider,6,16,30,14,0.42857142857142855,0.5333333333333333,78.0218264556962,3.5705584810126583,9.31065075949367,2309.4236404050635,5.027149620253165,79
683325,Curveball,3,25,41,16,0.1875,0.6097560975609756,79.43815108433735,-8.354267831325302,7.895772951807229,2354.945095192771,4.619963192771085,166
683325,Four-Seam,7,9,34,18,0.3888888888888889,0.2647058823529412,89.43049054878048,17.773295914634147,10.992235670731707,2138.602245365854,5.138875304878049,164
